CSV_HEADER: sample,mag_x,mag_y,mag_z,timestamp_ms
MAG_DATA: 225,-51,-23,395,11562
MAG_DATA: 226,-62,-34,402,11612
MAG_DATA: 227,-64,-30,392,11662
MAG_DATA: 228,-67,-37,399,11712
MAG_DATA: 229,-75,-37,389,11762
MAG_DATA: 230,-71,-37,391,11812
MAG_DATA: 231,-78,-46,394,11862
MAG_DATA: 232,-80,-38,390,11912
MAG_DATA: 233,-77,-51,399,11962
MAG_DATA: 234,-79,-57,397,12012
MAG_DATA: 235,-81,-45,405,12062
MAG_DATA: 236,-81,-55,393,12112
MAG_DATA: 237,-88,-56,396,12162
MAG_DATA: 238,-86,-64,398,12212
MAG_DATA: 239,-79,-55,395,12262
MAG_DATA: 240,-91,-53,401,12312
MAG_DATA: 241,-88,-56,400,12362
MAG_DATA: 242,-90,-60,396,12412
MAG_DATA: 243,-94,-66,402,12462
MAG_DATA: 244,-82,-54,394,12512
MAG_DATA: 245,-86,-62,390,12562
MAG_DATA: 246,-97,-59,397,12612
MAG_DATA: 247,-98,-62,396,12662
MAG_DATA: 248,-94,-52,398,12712
MAG_DATA: 249,-98,-60,400,12762
MAG_DATA: 250,-106,-60,402,12812
MAG_DATA: 251,-106,-64,398,12862
MAG_DATA: 252,-103,-65,401,12912
MAG_DATA: 253,-116,-66,402,12962
MAG_DATA: 254,-116,-78,396,13012
MAG_DATA: 255,-121,-65,407,13062
MAG_DATA: 256,-130,-70,404,13112
MAG_DATA: 257,-129,-59,405,13162
MAG_DATA: 258,-139,-53,401,13212
MAG_DATA: 259,-135,-53,409,13262
MAG_DATA: 260,-137,-43,407,13312
MAG_DATA: 261,-136,-60,404,13362
MAG_DATA: 262,-145,-55,407,13412
MAG_DATA: 263,-149,-57,409,13462
MAG_DATA: 264,-152,-54,402,13512
MAG_DATA: 265,-160,-54,400,13562
MAG_DATA: 266,-161,-41,407,13612
MAG_DATA: 267,-166,-32,418,13662
MAG_DATA: 268,-170,-44,412,13712
MAG_DATA: 269,-167,-53,411,13762
MAG_DATA: 270,-173,-59,403,13812
MAG_DATA: 271,-182,-50,412,13862
MAG_DATA: 272,-191,-57,401,13912
MAG_DATA: 273,-187,-57,405,13962
MAG_DATA: 274,-191,-49,407,14012
MAG_DATA: 275,-198,-46,402,14062
MAG_DATA: 276,-193,-43,409,14112
MAG_DATA: 277,-205,-41,401,14162
MAG_DATA: 278,-209,-39,403,14212
MAG_DATA: 279,-212,-38,394,14262
MAG_DATA: 280,-211,-35,401,14312
MAG_DATA: 281,-224,-28,404,14362
MAG_DATA: 282,-223,-35,403,14412
MAG_DATA: 283,-222,-28,402,14462
MAG_DATA: 284,-232,-28,400,14512
MAG_DATA: 285,-236,-26,392,14562
MAG_DATA: 286,-234,-12,400,14612
MAG_DATA: 287,-237,-15,403,14662
MAG_DATA: 288,-238,-16,392,14712
MAG_DATA: 289,-240,-6,394,14762
MAG_DATA: 290,-246,-8,398,14812
MAG_DATA: 291,-247,-11,395,14862
MAG_DATA: 292,-242,-6,396,14912
MAG_DATA: 293,-250,-4,394,14962
MAG_DATA: 294,-246,-4,394,15012
MAG_DATA: 295,-247,3,391,15062
MAG_DATA: 296,-254,8,396,15112
MAG_DATA: 297,-269,7,391,15162
MAG_DATA: 298,-250,22,390,15212
MAG_DATA: 299,-257,17,399,15262
INFO: Logged 300 samples
MAG_DATA: 300,-265,19,395,15312
MAG_DATA: 301,-260,16,390,15362
MAG_DATA: 302,-269,23,387,15412
MAG_DATA: 303,-268,20,386,15462
MAG_DATA: 304,-265,25,393,15512
MAG_DATA: 305,-272,30,388,15562
MAG_DATA: 306,-266,34,384,15612
MAG_DATA: 307,-261,27,385,15662
MAG_DATA: 308,-265,35,379,15712
MAG_DATA: 309,-267,35,389,15762
MAG_DATA: 310,-266,48,386,15812
MAG_DATA: 311,-267,41,383,15862
MAG_DATA: 312,-279,53,383,15912
MAG_DATA: 313,-283,53,381,15962
MAG_DATA: 314,-279,73,371,16012
MAG_DATA: 315,-292,60,380,16062
MAG_DATA: 316,-285,75,385,16112
MAG_DATA: 317,-281,71,371,16162
MAG_DATA: 318,-288,78,378,16212
MAG_DATA: 319,-293,75,375,16262
MAG_DATA: 320,-281,85,375,16312
MAG_DATA: 321,-279,87,377,16362
MAG_DATA: 322,-280,92,380,16412
MAG_DATA: 323,-279,93,369,16462
MAG_DATA: 324,-277,95,371,16512
MAG_DATA: 325,-281,95,369,16562
MAG_DATA: 326,-281,97,363,16612
MAG_DATA: 327,-276,108,368,16662
MAG_DATA: 328,-280,106,374,16712
MAG_DATA: 329,-278,116,368,16762
MAG_DATA: 330,-277,115,371,16812
MAG_DATA: 331,-272,124,362,16862
MAG_DATA: 332,-280,126,360,16912
MAG_DATA: 333,-282,132,370,16962
MAG_DATA: 334,-276,138,356,17012
MAG_DATA: 335,-274,144,356,17062
MAG_DATA: 336,-272,136,358,17112
MAG_DATA: 337,-279,145,361,17162
MAG_DATA: 338,-280,144,356,17212
MAG_DATA: 339,-279,149,359,17262
MAG_DATA: 340,-272,154,354,17312
MAG_DATA: 341,-271,149,365,17362
MAG_DATA: 342,-264,156,360,17412
MAG_DATA: 343,-258,154,360,17462
MAG_DATA: 344,-258,150,364,17512
MAG_DATA: 345,-262,164,362,17562
MAG_DATA: 346,-256,160,374,17612
MAG_DATA: 347,-252,168,362,17662
MAG_DATA: 348,-256,160,360,17712
MAG_DATA: 349,-249,165,367,17762
MAG_DATA: 350,-252,164,360,17812
MAG_DATA: 351,-255,161,373,17862
MAG_DATA: 352,-240,170,360,17912
MAG_DATA: 353,-249,173,361,17962
MAG_DATA: 354,-247,175,363,18012
MAG_DATA: 355,-239,175,365,18062
MAG_DATA: 356,-236,182,370,18112
MAG_DATA: 357,-240,184,354,18162
MAG_DATA: 358,-240,186,364,18212
MAG_DATA: 359,-222,192,348,18262
MAG_DATA: 360,-232,192,358,18312
MAG_DATA: 361,-232,200,356,18362
MAG_DATA: 362,-223,199,355,18412
MAG_DATA: 363,-219,201,357,18462
MAG_DATA: 364,-228,210,360,18512
MAG_DATA: 365,-217,213,351,18562
MAG_DATA: 366,-214,206,348,18612
MAG_DATA: 367,-213,207,353,18662
MAG_DATA: 368,-216,210,354,18712
MAG_DATA: 369,-212,222,348,18762
MAG_DATA: 370,-201,215,361,18812
MAG_DATA: 371,-206,220,356,18862
MAG_DATA: 372,-202,230,338,18912
MAG_DATA: 373,-192,234,348,18962
MAG_DATA: 374,-194,226,344,19012
MAG_DATA: 375,-189,233,339,19062
MAG_DATA: 376,-188,238,344,19112
MAG_DATA: 377,-185,241,331,19162
MAG_DATA: 378,-183,255,323,19212
MAG_DATA: 379,-180,266,320,19262
MAG_DATA: 380,-178,260,318,19312
MAG_DATA: 381,-179,257,319,19362
MAG_DATA: 382,-163,261,319,19412
MAG_DATA: 383,-172,270,314,19462
MAG_DATA: 384,-163,269,317,19512
MAG_DATA: 385,-162,270,314,19562
MAG_DATA: 386,-157,281,313,19612
MAG_DATA: 387,-154,266,320,19662
MAG_DATA: 388,-155,253,327,19712
MAG_DATA: 389,-164,256,324,19762
MAG_DATA: 390,-158,256,330,19812
MAG_DATA: 391,-160,260,328,19862
MAG_DATA: 392,-157,261,333,19912
MAG_DATA: 393,-150,260,328,19962
MAG_DATA: 394,-156,254,334,20012
MAG_DATA: 395,-148,244,334,20062
MAG_DATA: 396,-159,253,337,20112
MAG_DATA: 397,-149,247,329,20162
MAG_DATA: 398,-148,248,332,20212
MAG_DATA: 399,-150,252,324,20262
INFO: Logged 400 samples
MAG_DATA: 400,-147,249,339,20312
MAG_DATA: 401,-144,250,334,20362
MAG_DATA: 402,-141,239,333,20412
MAG_DATA: 403,-139,243,339,20462
MAG_DATA: 404,-132,250,340,20512
MAG_DATA: 405,-136,248,346,20562
MAG_DATA: 406,-142,250,334,20612
MAG_DATA: 407,-130,242,338,20662
MAG_DATA: 408,-142,242,350,20712
MAG_DATA: 409,-128,234,346,20762
MAG_DATA: 410,-117,233,351,20812
MAG_DATA: 411,-126,222,346,20862
MAG_DATA: 412,-122,230,348,20912
MAG_DATA: 413,-116,230,350,20962
MAG_DATA: 414,-116,226,354,21012
MAG_DATA: 415,-112,228,354,21062
MAG_DATA: 416,-110,226,340,21112
MAG_DATA: 417,-104,224,342,21162
MAG_DATA: 418,-105,227,347,21212
MAG_DATA: 419,-97,231,345,21262
MAG_DATA: 420,-96,224,344,21312
